PRDCT_REF_ID,SRC_ENV_ID,PRDCT_ID,NDC_LBL_NAME,ADMIN_ROUTE,DRG_MANF,DEA_CD,GPI_THRPTC_CLASS_NAME,GPI_NUM_14_DIGIT,PRDCT_QUAL_CD,CREATE_TIMESTAMP,CREATED_BY,UPDATE_TIMESTAMP,UPDATED_BY,PKG_SIZE,UNIT_OF_MEASURE,PRDCT_DESCR,UNIT_OF_MEASURE_QTY,PKG_SIZE_TOTAL_QTY,MULTI_SRC_CD,DRUG_STRENGTH_QTY,DOSAGE_FORM_ID,DRG_UNIT_DOSE_USE_IND,GPI_NAME,DRG_STAT_CD,DRG_RX_OTC_IND
33462,500,00023320503,LUMIGAN      SOL 0.01% OP,OP,ALLERGAN,0,Ophthalmic Prostaglandins,8.633E+13,03,19:55.7,System,08:46.4,System,2.5,ML,BOTTLE,1,2.5,O,0.01,SOLN,U,BIMATOPROST OPHTH SOLN 0.01%,A,S
87565,500,00173071620,ADVAIR HFA   AER 115/21,IN,GLAXOSMITH,0,Inhaled Asthma/COPD Combo,4.42099E+13,03,19:55.7,System,06:46.4,System,12,GM,INHALER,1,12,M,0,AERO,U,FLUTICASONE-SALMETEROL INHAL AEROSOL 115-21 MCG/ACT,A,S
146288,500,00456120230,LINZESS      CAP 290MCG,OR,ALLERGAN,0,Irritable Bowel Syndrome (IBS) Agents,5.25571E+13,03,19:55.7,System,08:46.4,System,30,EA,BOTTLE,1,30,N,290,CAPS,U,LINACLOTIDE CAP 290 MCG,A,R
33928,500,00023921115,COMBIGAN     SOL 0.2/0.5%,OP,ALLERGAN,0,Ophthalmic Beta Blockers,8.62599E+13,03,19:55.7,System,08:46.4,System,15,ML,BOTTLE,1,15,O,0,SOLN,U,BRIMONIDINE TARTRATE-TIMOLOL MALEATE OPHTH SOLN 0.2-0.5%,A,S
910795,500,69097084615,CYCLOBENZAPR TAB 10MG,OR,CIPLA USA,0,Muscle Relaxants & Combos,7.51001E+13,03,19:55.7,System,08:37.7,System,1000,EA,BOTTLE,1,1000,Y,10,TABS,-,CYCLOBENZAPRINE HCL TAB 10 MG,A,S
115534,500,00310652401,BYETTA       INJ 10MCG,SC,ASTZEN,0,GLP-1 Receptor Agonists,2717002000D240,03,19:55.7,System,08:58.4,System,2.4,ML,PEN,1,2.4,N,10,SOPN,U,EXENATIDE SOLN PEN-INJECTOR 10 MCG/0.04ML,I,R
1208395,500,08627007701,DEXCOM G7    MIS SENSOR,XX,DEXCOM,0,Diabetes Monitoring and Testing Supplies,9.7202E+13,02,18:51.1,System,06:03.5,System,1,EA,BOX,1,1,N,0,MISC,U,*CONTINUOUS GLUCOSE SYSTEM SENSOR***,A,R
171933,500,00597007541,SPIRIVA      CAP HANDIHLR,IN,BOEHR INGL,0,Inhaled Bronchodilator,4.41001E+13,03,19:55.7,System,06:03.5,System,30,EA,BOX,1,30,O,18,CAPS,U,TIOTROPIUM BROMIDE INHAL CAP 18 MCG (BASE EQUIV),A,S
1120140,500,00254302902,LUBIPROSTONE CAP 24MCG,OR,PAR HEALTH,0,Gastrointestinal Chloride Channel Activators,5.245E+13,03,07:29.1,System,05:27.0,System,60,EA,BOTTLE,1,60,Y,24,CAPS,-,LUBIPROSTONE CAP 24 MCG,A,S
37741,500,00032122401,CREON        CAP 24000UNT,OR,ABBVIE,0,Digestive Enzymes,5.12E+13,03,19:55.7,System,08:46.4,System,100,EA,BOTTLE,1,100,N,0,CPEP,U,PANCRELIPASE (LIP-PROT-AMYL) DR CAP 24000-76000-120000 UNIT,A,R
1062290,500,73070010315,INSULIN ASPA INJ FLEXPEN,SC,NOVO NORD,0,Insulin,2710400200D220,03,07:02.2,System,06:03.5,System,3,ML,PEN,5,15,N,100,SOPN,U,INSULIN ASPART SOLN PEN-INJECTOR 100 UNIT/ML,I,R
860058,500,65649030302,XIFAXAN      TAB 550MG,OR,BAUSCH HEA,0,Anti-Infective Agents - Misc.,1.6E+13,03,19:55.7,System,09:05.6,System,60,EA,BOTTLE,1,60,N,550,TABS,-,RIFAXIMIN TAB 550 MG,A,R
1121337,500,73336007530,GEMTESA      TAB 75MG,OR,SUMITOMO P,0,Urinary Antispasmodics & OAB Drugs,5.42001E+13,03,07:24.5,System,06:03.5,System,30,EA,BOTTLE,1,30,N,75,TABS,-,VIBEGRON TAB 75 MG,A,R
628119,500,50458056401,INVEGA SUST  INJ 234/1.5,IM,JANSSEN,0,Atypical Antipsychotics,5907005010E638,03,19:55.7,System,05:50.2,System,1.5,ML,SYRINGE,1,1.5,N,234,SUSY,X,PALIPERIDONE PALMITATE ER SUSP PREF SYR 234 MG/1.5ML,A,R
834871,500,63402030830,LATUDA       TAB 80MG,OR,SUMITOMO P,0,Atypical Antipsychotics,5.94E+13,03,19:55.7,System,05:48.8,System,30,EA,BOTTLE,1,30,O,80,TABS,-,LURASIDONE HCL TAB 80 MG,A,S
904480,500,68682000610,DILTIAZEM    TAB 30MG,OR,OCEANSIDE,0,Calcium Channel Blockers,3.4E+13,03,19:55.7,System,06:10.4,System,100,EA,BOTTLE,1,100,Y,30,TABS,-,DILTIAZEM HCL TAB 30 MG,A,S
17867,500,00002879759,HUMALOG MIX  INJ 75/25KWP,SC,LILLY,0,Insulin,2710408000D320,03,19:55.7,System,09:05.6,System,3,ML,PEN,5,15,N,100,SUPN,U,INSULIN LISPRO PROT & LISPRO SUS PEN-INJ 100 UNIT/ML (75-25),A,R
1107394,500,00173089310,TRELEGY      AER 200MCG,IN,GLAXOSMITH,0,Inhaled Asthma/COPD Combo,4.42099E+13,03,07:45.1,System,06:46.4,System,60,EA,DISP PACK,1,60,N,0,AEPB,U,FLUTICASONE-UMECLIDINIUM-VILANTEROL AEPB 200-62.5-25 MCG/ACT,A,R
16794,500,00002237711,EMGALITY     INJ 120MG/ML,SC,LILLY,0,Migraine Products,6770203530E520,03,19:55.7,System,09:05.6,System,1,ML,SYRINGE,1,1,N,120,SOSY,X,GALCANEZUMAB-GNLM SUBCUTANEOUS SOLN PREFILLED SYR 120 MG/ML,A,R
65501,500,00088221905,LANTUS SOLOS INJ 100/ML,SC,SANOFI-AVE,0,Insulin,2710400300D220,03,19:55.7,System,06:00.3,System,3,ML,PEN,5,15,N,100,SOPN,U,INSULIN GLARGINE SOLN PEN-INJECTOR 100 UNIT/ML,A,R
1215188,500,82293000410,MIDODRINE    TAB 5MG,OR,NOVUGEN PH,0,Vasopressors,3.80001E+13,03,22:05.1,System,41:31.0,System,100,EA,BOTTLE,1,100,Y,5,TABS,-,MIDODRINE HCL TAB 5 MG,A,S
1225490,500,66993045630,DAPAGLIFLOZI TAB 5MG,OR,PRASCO LAB,0,SGLT-2 Inhibitors & Combos,2.77E+13,03,21:17.4,System,07:29.0,System,30,EA,BOTTLE,1,30,Y,5,TABS,-,DAPAGLIFLOZIN TAB 5 MG,A,S
411105,500,17772010430,TROKENDI XR  CAP 200MG,OR,SUPERNUS P,0,Anticonvulsants - 2nd Generation,7.26001E+13,03,19:55.7,System,01:27.7,System,30,EA,BOTTLE,1,30,O,200,CP24,-,TOPIRAMATE CAP ER 24HR 200 MG,A,S
1240701,500,00310621090,FARXIGA      TAB 10MG,OR,ASTZEN,0,SGLT-2 Inhibitors & Combos,2.77E+13,03,18:00.2,System,08:58.4,System,90,EA,BOTTLE,1,90,O,10,TABS,-,DAPAGLIFLOZIN TAB 10 MG,A,S
84937,500,00169633910,NOVOLOG      INJ FLEXPEN,SC,NOVO NORD,0,Insulin,2710400200D220,03,19:55.7,System,06:03.5,System,3,ML,PEN,5,15,N,100,SOPN,U,INSULIN ASPART SOLN PEN-INJECTOR 100 UNIT/ML,A,R
